#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,SPATK Count
1,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,3
2,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,3
3,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,3
4,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE,3
5,Raikou,Electric,,580,90,85,75,115,100,115,2,TRUE,3
6,Entei,Fire,,580,115,115,85,90,75,100,2,TRUE,3
7,Suicune,Water,,580,100,75,115,90,115,85,2,TRUE,3
8,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE,3
9,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE,3
10,Regirock,Rock,,580,80,100,200,50,100,50,3,TRUE,3
11,Regice,Ice,,580,80,50,100,100,200,50,3,TRUE,3
12,Registeel,Steel,,580,80,75,150,75,150,50,3,TRUE,3
13,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,TRUE,3
14,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,TRUE,3
15,Kyogre,Water,,670,100,100,90,150,140,90,3,TRUE,3
16,Groudon,Ground,,670,100,150,140,100,90,90,3,TRUE,3
17,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE,3
18,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE,3
19,Uxie,Psychic,,580,75,75,130,75,130,95,4,TRUE,3
20,Mesprit,Psychic,,580,80,105,105,105,105,80,4,TRUE,3
21,Azelf,Psychic,,580,75,125,70,125,70,115,4,TRUE,3
22,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,TRUE,3
23,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,TRUE,3
24,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,TRUE,3
25,Darkrai,Dark,,600,70,90,90,135,90,125,4,TRUE,3
26,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,TRUE,3
27,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,TRUE,3
28,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,TRUE,3
29,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,TRUE,3
30,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,TRUE,3
31,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,TRUE,3
32,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,TRUE,3
33,Xerneas,Fairy,,680,126,131,95,131,98,99,6,TRUE,3
34,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,TRUE,3
35,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,TRUE,3
36,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,TRUE,3
